model,parameter_name,parameter_value,train_mae,test_mae,train_mse,test_mse,train_rmse,test_rmse,train_r2,test_r2
DecisionTreeRegressor,min_samples_split,5,0.38999394239328533,0.6001426260170823,0.3112769857967949,0.7635739286072697,0.5579220248357246,0.8738271731911692,0.9840472628389954,0.9556604944210821
DecisionTreeRegressor,min_samples_split,10,0.42251403954816946,0.6061514068743258,0.37239471007267466,0.7615859149463906,0.6102415178211612,0.8726888992913744,0.9809150203805428,0.955775935165593
DecisionTreeRegressor,min_samples_split,20,0.45509160279290156,0.6649150939080251,0.4439185738089071,0.9018519657547187,0.6662721469556618,0.949658868096707,0.9772494702403584,0.9476309119931905
DecisionTreeRegressor,min_samples_leaf,1,0.35078932518728706,0.6551917847973138,0.26628889730034655,1.0218032749751278,0.5160318762444298,1.0108428537488543,0.9863528722605296,0.9406655330755554
DecisionTreeRegressor,min_samples_leaf,2,0.3953336120007139,0.6418435284766401,0.3201003992413628,0.8607247106679073,0.5657741592202341,0.9277525050722889,0.983595068806135,0.9500191053141612
DecisionTreeRegressor,min_samples_leaf,4,0.4364135260298846,0.6165126055285933,0.4151006308942529,0.8793943494034628,0.644283036323519,0.9377602835498328,0.9787263705247193,0.9489349895267333
DecisionTreeRegressor,min_samples_leaf,8,0.48308165974125244,0.4959119551182006,0.5696550857195594,0.4668195889193685,0.7547549838984565,0.6832419695242443,0.9708055581698347,0.9728925399469939
RandomForestRegressor,n_estimators,50,0.22283148382004742,0.4611458675078865,0.13806591005351226,0.40140370074069387,0.3715722137801914,0.6335642830373993,0.9929242145276477,0.9766911349882608
RandomForestRegressor,n_estimators,100,0.21948551302288902,0.4756445741324916,0.13223788062032357,0.42541555900662353,0.3636452675621169,0.6522388818574246,0.9932228971349605,0.975296805135375
RandomForestRegressor,n_estimators,200,0.21861324585635394,0.46789089116719246,0.13394184146305255,0.4062211169774839,0.36598065722528633,0.637354781089374,0.9931355702823597,0.9764113954029966
RandomForestRegressor,n_estimators,300,0.2177729729018684,0.4711406572029428,0.1334048992716657,0.4109070581259535,0.36524635422090895,0.6410203258290282,0.9931630882102525,0.9761392903639023
RandomForestRegressor,max_depth,5,0.5750571513540523,0.6220113166470831,0.7111492118147508,0.6084078447194023,0.8432966333472172,0.7800050286500737,0.963554078920109,0.9646707384648433
RandomForestRegressor,max_depth,10,0.373821370826985,0.5211073904325414,0.2744776549188285,0.48016480068815065,0.5239061508694363,0.6929392474727858,0.9859332039139332,0.9721176050395737
RandomForestRegressor,max_depth,15,0.2617373418331959,0.4869177199663979,0.15623968618116169,0.43506708956084444,0.3952716612421914,0.6595961564175798,0.9919928206661799,0.9747363563342556
RandomForestRegressor,max_depth,None,0.21948551302288902,0.475644574132492,0.13223788062032357,0.4254155590066237,0.3636452675621169,0.6522388818574247,0.9932228971349605,0.975296805135375
RandomForestRegressor,min_samples_leaf,1,0.21948551302288902,0.475644574132492,0.13223788062032357,0.42541555900662387,0.3636452675621169,0.6522388818574248,0.9932228971349605,0.975296805135375
RandomForestRegressor,min_samples_leaf,2,0.24929576664923933,0.48108143063350955,0.1994260915315239,0.41916261676731836,0.4465714853542755,0.6474276923080433,0.9897795462998806,0.9756599033985779
RandomForestRegressor,min_samples_leaf,4,0.3331590762227988,0.4477353562490595,0.3517441126529555,0.3726284671404744,0.5930801907440135,0.6104330160963399,0.9819733496753065,0.9783620663584278
RandomForestRegressor,min_samples_leaf,8,0.4313339550872308,0.40976360734274203,0.543593167325064,0.3066442222905547,0.7372877100054388,0.5537546589334981,0.9721412140423519,0.9821936649542312
SVR,C,0.1,0.7320272214203201,0.684920354495554,0.9920245723291954,0.6994199543144508,0.9960043033688134,0.8363133110948616,0.9491594047047321,0.959385812159804
SVR,C,1,0.7361726296708012,0.5852810889147054,0.9214621548367183,0.5553945177713999,0.9599282029593247,0.7452479572406756,0.9527756813684923,0.9677491367939419
SVR,C,10,0.7164936756807718,0.5765811031509986,0.8564160355639054,0.520671147055421,0.9254274880096794,0.7215754617885928,0.9561092514409677,0.9697654668857618
SVR,C,100,0.7166896671340623,0.5786062693177527,0.8564304238238598,0.5244454611658945,0.9254352618221654,0.7241860680556444,0.9561085140522761,0.9695462985573419
SVR,kernel,linear,0.614416209009714,0.4235004240567038,0.8934439862272674,0.26954827208853405,0.9452216598381924,0.5191803849227492,0.9542115937550607,0.9843477669073163
SVR,kernel,poly,0.7406615302594645,1.0308268812262484,0.9811937951608,1.496774214459615,0.9905522677581431,1.223427241179309,0.9497144747847592,0.9130847372520143
SVR,kernel,rbf,0.7361726296708012,0.5852810889147054,0.9214621548367183,0.5553945177713999,0.9599282029593247,0.7452479572406756,0.9527756813684923,0.9677491367939419
SVR,kernel,sigmoid,2.5628960561176375,3.2872890443441523,8.93912815264828,13.620470278942056,2.9898374793035623,3.690592131209036,0.5418756658070818,0.2090812751789829
SVR,gamma,scale,0.7361726296708012,0.5852810889147054,0.9214621548367183,0.5553945177713999,0.9599282029593247,0.7452479572406756,0.9527756813684923,0.9677491367939419
SVR,gamma,auto,0.619346671746735,0.5341088651703092,0.887031292921207,0.4098089524571494,0.9418233873297089,0.6401632232932077,0.9545402399944987,0.9762030555876796
SVR,gamma,0.01,0.7298793541092301,0.941736576077068,1.0758934928891801,1.137695232139573,1.037252858703788,1.0666279726969348,0.9448611786658048,0.9339358741797663
SVR,gamma,0.1,0.6206022515354055,0.507464889159614,0.8843131103252827,0.3751036047545838,0.9403792375022338,0.6124570227816674,0.9546795450330559,0.9782183391122009
